,Datum,Timestamp,Baden-Württemberg Faelle,Baden-Württemberg Faelle pro 100000,Baden-Württemberg Todesfaelle,Baden-Württemberg Todesfaelle pro 100000,Baden-Württemberg neue Faelle,Baden-Württemberg neue Faelle pro 100000,Baden-Württemberg Wachstumsrate (5d),Baden-Württemberg Verdopplungszeit (5d),Bayern Faelle,Bayern Faelle pro 100000,Bayern Todesfaelle,Bayern Todesfaelle pro 100000,Bayern neue Faelle,Bayern neue Faelle pro 100000,Bayern Wachstumsrate (5d),Bayern Verdopplungszeit (5d),Berlin Faelle,Berlin Faelle pro 100000,Berlin Todesfaelle,Berlin Todesfaelle pro 100000,Berlin neue Faelle,Berlin neue Faelle pro 100000,Berlin Wachstumsrate (5d),Berlin Verdopplungszeit (5d),Brandenburg Faelle,Brandenburg Faelle pro 100000,Brandenburg Todesfaelle,Brandenburg Todesfaelle pro 100000,Brandenburg neue Faelle,Brandenburg neue Faelle pro 100000,Brandenburg Wachstumsrate (5d),Brandenburg Verdopplungszeit (5d),Bremen Faelle,Bremen Faelle pro 100000,Bremen Todesfaelle,Bremen Todesfaelle pro 100000,Bremen neue Faelle,Bremen neue Faelle pro 100000,Bremen Wachstumsrate (5d),Bremen Verdopplungszeit (5d),Hamburg Faelle,Hamburg Faelle pro 100000,Hamburg Todesfaelle,Hamburg Todesfaelle pro 100000,Hamburg neue Faelle,Hamburg neue Faelle pro 100000,Hamburg Wachstumsrate (5d),Hamburg Verdopplungszeit (5d),Hessen Faelle,Hessen Faelle pro 100000,Hessen Todesfaelle,Hessen Todesfaelle pro 100000,Hessen neue Faelle,Hessen neue Faelle pro 100000,Hessen Wachstumsrate (5d),Hessen Verdopplungszeit (5d),Mecklenburg-Vorpommern Faelle,Mecklenburg-Vorpommern Faelle pro 100000,Mecklenburg-Vorpommern Todesfaelle,Mecklenburg-Vorpommern Todesfaelle pro 100000,Mecklenburg-Vorpommern neue Faelle,Mecklenburg-Vorpommern neue Faelle pro 100000,Mecklenburg-Vorpommern Wachstumsrate (5d),Mecklenburg-Vorpommern Verdopplungszeit (5d),Niedersachsen Faelle,Niedersachsen Faelle pro 100000,Niedersachsen Todesfaelle,Niedersachsen Todesfaelle pro 100000,Niedersachsen neue Faelle,Niedersachsen neue Faelle pro 100000,Niedersachsen Wachstumsrate (5d),Niedersachsen Verdopplungszeit (5d),Nordrhein-Westfalen Faelle,Nordrhein-Westfalen Faelle pro 100000,Nordrhein-Westfalen Todesfaelle,Nordrhein-Westfalen Todesfaelle pro 100000,Nordrhein-Westfalen neue Faelle,Nordrhein-Westfalen neue Faelle pro 100000,Nordrhein-Westfalen Wachstumsrate (5d),Nordrhein-Westfalen Verdopplungszeit (5d),Rheinland-Pfalz Faelle,Rheinland-Pfalz Faelle pro 100000,Rheinland-Pfalz Todesfaelle,Rheinland-Pfalz Todesfaelle pro 100000,Rheinland-Pfalz neue Faelle,Rheinland-Pfalz neue Faelle pro 100000,Rheinland-Pfalz Wachstumsrate (5d),Rheinland-Pfalz Verdopplungszeit (5d),Saarland Faelle,Saarland Faelle pro 100000,Saarland Todesfaelle,Saarland Todesfaelle pro 100000,Saarland neue Faelle,Saarland neue Faelle pro 100000,Saarland Wachstumsrate (5d),Saarland Verdopplungszeit (5d),Sachsen Faelle,Sachsen Faelle pro 100000,Sachsen Todesfaelle,Sachsen Todesfaelle pro 100000,Sachsen neue Faelle,Sachsen neue Faelle pro 100000,Sachsen Wachstumsrate (5d),Sachsen Verdopplungszeit (5d),Sachsen-Anhalt Faelle,Sachsen-Anhalt Faelle pro 100000,Sachsen-Anhalt Todesfaelle,Sachsen-Anhalt Todesfaelle pro 100000,Sachsen-Anhalt neue Faelle,Sachsen-Anhalt neue Faelle pro 100000,Sachsen-Anhalt Wachstumsrate (5d),Sachsen-Anhalt Verdopplungszeit (5d),Schleswig-Holstein Faelle,Schleswig-Holstein Faelle pro 100000,Schleswig-Holstein Todesfaelle,Schleswig-Holstein Todesfaelle pro 100000,Schleswig-Holstein neue Faelle,Schleswig-Holstein neue Faelle pro 100000,Schleswig-Holstein Wachstumsrate (5d),Schleswig-Holstein Verdopplungszeit (5d),Thüringen Faelle,Thüringen Faelle pro 100000,Thüringen Todesfaelle,Thüringen Todesfaelle pro 100000,Thüringen neue Faelle,Thüringen neue Faelle pro 100000,Thüringen Wachstumsrate (5d),Thüringen Verdopplungszeit (5d),Deutschland Faelle,Deutschland Faelle pro 100000,Deutschland Todesfaelle,Deutschland Todesfaelle pro 100000,Deutschland neue Faelle,Deutschland neue Faelle pro 100000,Deutschland Wachstumsrate (5d),Deutschland Verdopplungszeit (5d)
0,2020-03-04,2020-03-04,50.0,0.4516902384228856,0.0,0.0,,,,,48.0,0.3670644957554726,0.0,0.0,,,,,7.0,0.1920530637127808,0.0,0.0,,,,,1.0,0.03981023258332182,0.0,0.0,,,,,3.0,0.439247656613752,0.0,0.0,,,,,3.0,0.16293907327858942,0.0,0.0,,,,,12.0,0.19151557284941179,0.0,0.0,,,,,4.0,0.24849736748101325,0.0,0.0,,,,,7.0,0.0876923971192797,0.0,0.0,,,,,115.0,0.6412883404690137,0.0,0.0,,,,,7.0,0.171365173308944,0.0,0.0,,,,,1.0,0.10095819422135488,0.0,0.0,,,,,1.0,0.024522203261109723,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,2.0,0.06904379862409518,0.0,0.0,,,,,1.0,0.0466603986197854,0.0,0.0,,,,,262.0,0.3155895973140579,0.0,0.0,,,,
1,2020-03-05,2020-03-05,73.0,0.6594677480974129,0.0,0.0,23.0,0.20777750967452738,,,70.0,0.5353023896433976,0.0,0.0,22.0,0.16823789388792496,,,13.0,0.35666997546659296,0.0,0.0,6.0,0.16461691175381213,,,1.0,0.03981023258332182,0.0,0.0,0.0,0.0,,,3.0,0.439247656613752,0.0,0.0,0.0,0.0,,,5.0,0.2715651221309824,0.0,0.0,2.0,0.10862604885239295,,,14.0,0.2234348349909804,0.0,0.0,2.0,0.03191926214156863,,,4.0,0.24849736748101325,0.0,0.0,0.0,0.0,,,18.0,0.22549473544957638,0.0,0.0,11.0,0.13780233833029668,,,181.0,1.0093320836947086,0.0,0.0,66.0,0.36804374322569483,,,8.0,0.19584591235307885,0.0,0.0,1.0,0.024480739044134857,,,1.0,0.10095819422135488,0.0,0.0,0.0,0.0,,,1.0,0.024522203261109723,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,0.24165329518433312,0.0,0.0,5.0,0.17260949656023794,,,1.0,0.0466603986197854,0.0,0.0,0.0,0.0,,,400.0,0.4818161791054319,0.0,0.0,138.0,0.166226581791374,,
2,2020-03-06,2020-03-06,96.0,0.8672452577719404,0.0,0.0,23.0,0.20777750967452738,,,117.0,0.8947197084039645,0.0,0.0,47.0,0.35941731876056693,,,19.0,0.5212868872204051,0.0,0.0,6.0,0.16461691175381213,,,2.0,0.07962046516664364,0.0,0.0,1.0,0.03981023258332182,,,4.0,0.5856635421516693,0.0,0.0,1.0,0.14641588553791732,,,11.0,0.5974432686881612,0.0,0.0,6.0,0.32587814655717884,,,16.0,0.25535409713254903,0.0,0.0,2.0,0.03191926214156863,,,5.0,0.31062170935126654,0.0,0.0,1.0,0.06212434187025331,,,18.0,0.22549473544957638,0.0,0.0,0.0,0.0,,,329.0,1.8346422957765696,0.0,0.0,148.0,0.8253102120818612,,,10.0,0.24480739044134858,0.0,0.0,2.0,0.048961478088269714,,,2.0,0.20191638844270976,0.0,0.0,1.0,0.10095819422135488,,,2.0,0.04904440652221945,0.0,0.0,1.0,0.024522203261109723,,,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,0.24165329518433312,0.0,0.0,0.0,0.0,,,1.0,0.0466603986197854,0.0,0.0,0.0,0.0,,,639.0,0.7697013461209274,0.0,0.0,239.0,0.28788516701549555,,
3,2020-03-07,2020-03-07,170.0,1.535746810637811,0.0,0.0,74.0,0.6685015528658707,,,134.0,1.024721717317361,0.0,0.0,17.0,0.13000200891339656,,,28.0,0.7682122548511232,0.0,0.0,9.0,0.24692536763071818,,,2.0,0.07962046516664364,0.0,0.0,0.0,0.0,,,4.0,0.5856635421516693,0.0,0.0,0.0,0.0,,,13.0,0.7060693175405541,0.0,0.0,2.0,0.10862604885239295,,,17.0,0.2713137282033334,0.0,0.0,1.0,0.015959631070784314,,,5.0,0.31062170935126654,0.0,0.0,0.0,0.0,,,19.0,0.23802222075233062,0.0,0.0,1.0,0.012527485302754243,,,373.0,2.0800047912603663,0.0,0.0,44.0,0.24536249548379654,,,13.0,0.31824960757375315,0.0,0.0,3.0,0.07344221713240458,,,3.0,0.30287458266406464,0.0,0.0,1.0,0.10095819422135488,,,4.0,0.0980888130444389,0.0,0.0,2.0,0.04904440652221945,,,0.0,0.0,0.0,0.0,0.0,0.0,,,8.0,0.2761751944963807,0.0,0.0,1.0,0.03452189931204759,,,2.0,0.0933207972395708,0.0,0.0,1.0,0.0466603986197854,,,795.0,0.9576096559720458,0.0,0.0,156.0,0.18790830985111842,,
4,2020-03-08,2020-03-08,182.0,1.6441524678593036,0.0,0.0,12.0,0.10840565722149255,,,172.0,1.3153144431237769,0.0,0.0,38.0,0.2905927258064158,,,40.0,1.0974460783587474,0.0,0.0,12.0,0.32923382350762426,,,4.0,0.1592409303332873,0.0,0.0,2.0,0.07962046516664364,,,4.0,0.5856635421516693,0.0,0.0,0.0,0.0,,,13.0,0.7060693175405541,0.0,0.0,0.0,0.0,,,19.0,0.303232990344902,0.0,0.0,2.0,0.03191926214156863,,,8.0,0.4969947349620265,0.0,0.0,3.0,0.18637302561075994,,,21.0,0.26307719135783914,0.0,0.0,2.0,0.025054970605508486,,,398.0,2.2194153000579777,0.0,0.0,25.0,0.1394105087976117,,,19.0,0.4651340418385623,0.0,0.0,6.0,0.14688443426480915,,,9.0,0.9086237479921939,0.0,0.0,6.0,0.6057491653281293,,,4.0,0.0980888130444389,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,0.24165329518433312,0.0,0.0,-1.0,-0.03452189931204759,,,2.0,0.0933207972395708,0.0,0.0,0.0,0.0,,,902.0,1.086495483882749,0.0,0.0,107.0,0.12888582791070302,,
5,2020-03-09,2020-03-09,204.0,1.8428961727653732,0.0,0.0,22.0,0.19874370490606966,0.9333333333333333,2.5719941867644365,256.0,1.957677310695854,0.0,0.0,84.0,0.6423628675720771,1.3419354838709678,2.327024149690818,48.0,1.316935294030497,0.0,0.0,8.0,0.2194892156717495,0.9939393939393939,2.064816170942353,6.0,0.23886139549993093,0.0,0.0,2.0,0.07962046516664364,1.3333333333333333,1.6207652439467197,4.0,0.5856635421516693,0.0,0.0,0.0,0.0,0.8,12.047104199291288,17.0,0.9233214152453401,0.0,0.0,4.0,0.2172520977047859,1.1199999999999999,2.651058933880274,26.0,0.41495040784039217,0.0,0.0,7.0,0.1117174174954902,1.5999999999999999,4.916186141139375,10.0,0.6212434187025331,0.0,0.0,2.0,0.12424868374050663,1.2,3.0102999534298904,38.0,0.47604444150466124,0.0,0.0,17.0,0.21296725014682213,1.7714285714285716,4.2045116655592505,484.0,2.698987450321762,0.0,0.0,86.0,0.4795721502637842,1.0431095406360424,3.212628924292066,17.0,0.4161725637502926,0.0,0.0,-2.0,-0.048961478088269714,0.6666666666666666,3.2248440946875827,6.0,0.6057491653281293,0.0,0.0,-3.0,-0.30287458266406464,0.5,1.3624256621248119,12.0,0.2942664391333167,0.0,0.0,8.0,0.1961776260888778,2.9333333333333336,1.2240014441138047,0.0,0.0,0.0,0.0,0.0,0.0,,,9.0,0.3106970938084283,0.0,0.0,2.0,0.06904379862409518,1.1199999999999999,13.790437448599736,2.0,0.0933207972395708,0.0,0.0,0.0,0.0,0.8,3.3333333334065607,1139.0,1.3719715700027173,0.0,0.0,237.0,0.2854760861199684,1.09625,2.8435723661570758
6,2020-03-10,2020-03-10,237.0,2.1410117301244775,0.0,0.0,33.0,0.2981155573591045,1.0649350649350648,3.483597253311913,314.0,2.4012135764003832,0.0,0.0,58.0,0.4435362657045294,1.173076923076923,2.6438080428161843,48.0,1.316935294030497,0.0,0.0,0.0,0.0,0.853658536585366,2.89714199719006,9.0,0.3582920932498964,0.0,0.0,3.0,0.11943069774996547,1.6,1.6878171240042759,4.0,0.5856635421516693,0.0,0.0,0.0,0.0,1.0,,29.0,1.5750777083596978,0.0,0.0,12.0,0.6517562931143577,1.7142857142857144,3.140583303452582,35.0,0.558587087477451,0.0,0.0,9.0,0.14363667963705884,1.5000000000000002,3.4824483947940723,13.0,0.807616444313293,0.0,0.0,3.0,0.18637302561075994,1.5,2.661681694268741,49.0,0.613846779834958,0.0,0.0,11.0,0.13780233833029668,1.0,2.570978463265045,484.0,2.698987450321762,0.0,0.0,0.0,0.0,0.8211382113821138,6.7128945944877145,25.0,0.6120184761033715,0.0,0.0,8.0,0.19584591235307885,1.7,3.29937254514659,7.0,0.7067073595494842,0.0,0.0,1.0,0.10095819422135488,1.2,2.1669834806379984,22.0,0.5394884717444139,0.0,0.0,10.0,0.24522203261109723,1.909090909090909,1.175941312553316,7.0,0.31698290239507754,0.0,0.0,7.0,0.31698290239507754,inf,,9.0,0.3106970938084283,0.0,0.0,0.0,0.0,0.28571428571428575,11.172370956360856,4.0,0.1866415944791416,0.0,0.0,2.0,0.0933207972395708,2.9999999999999996,2.5000000000398317,1296.0,1.5610844203015992,0.0,0.0,157.0,0.189112850298882,1.0216647662485745,3.9076287436928085
7,2020-03-11,2020-03-11,277.0,2.5023639208627864,0.0,0.0,40.0,0.3613521907383085,1.103658536585366,5.587681406878202,366.0,2.7988667801354787,0.0,0.0,52.0,0.39765320373509533,1.0204918032786885,2.654225575446573,90.0,2.469253676307182,0.0,0.0,42.0,1.152318382276685,2.0285714285714285,2.753280651085896,24.0,0.9554455819997237,0.0,0.0,15.0,0.5971534887498273,2.75,1.199062332848459,21.0,3.0747335962962636,0.0,0.0,17.0,2.4890700541445945,17.0,2.0900236534068046,48.0,2.6070251724574307,0.0,0.0,19.0,1.031947464097733,1.5416666666666667,2.0298028473944605,48.0,0.7660622913976471,0.0,0.0,13.0,0.20747520392019608,1.5238095238095237,2.5797432015944164,17.0,1.0561138117943063,0.0,0.0,4.0,0.24849736748101325,1.3333333333333333,2.36322302559762,75.0,0.9395613977065683,0.0,0.0,26.0,0.3257146178716103,1.8387096774193548,1.9289473124036849,484.0,2.698987450321762,0.0,0.0,0.0,0.0,0.5115511551155115,9.672101634563234,25.0,0.6120184761033715,0.0,0.0,0.0,0.0,0.8823529411764706,4.380658897732338,14.0,1.4134147190989683,0.0,0.0,7.0,0.7067073595494842,2.0,2.4496506381993415,26.0,0.6375772847888528,0.0,0.0,4.0,0.0980888130444389,1.1428571428571428,1.2722142828459109,15.0,0.6792490765608804,0.0,0.0,8.0,0.36226617416580287,2.142857142857143,,27.0,0.9320912814252849,0.0,0.0,18.0,0.6213941876168566,10.0,2.5824144759795757,10.0,0.46660398619785404,0.0,0.0,6.0,0.27996239171871246,3.0,1.7718382035010827,1567.0,1.8875148816455294,0.0,0.0,271.0,0.3264304613439301,1.0357142857142858,4.0309200458508645
8,2020-03-12,2020-03-12,454.0,4.101347364879802,0.0,0.0,177.0,1.598983444017015,1.5690607734806628,3.2479928430146767,500.0,3.82358849745284,0.0,0.0,134.0,1.024721717317361,1.4698795180722892,2.781843211248483,137.0,3.7587528183787104,0.0,0.0,47.0,1.2894991420715283,1.535211267605634,2.24260572831545,30.0,1.1943069774996546,0.0,0.0,6.0,0.23886139549993093,1.2727272727272725,1.279790124058153,38.0,5.563803650440859,0.0,0.0,17.0,2.4890700541445945,2.0,1.1250906816547606,88.0,4.77954614950529,0.0,0.0,40.0,2.172520977047859,2.0270270270270268,1.4254185151214398,99.0,1.5800034760076471,0.0,0.0,51.0,0.8139411846100001,2.5624999999999996,1.7707323071491612,23.0,1.4288598630158262,0.0,0.0,6.0,0.3727460512215199,1.5,2.6228416701137656,129.0,1.6160456040552975,0.0,0.0,54.0,0.6764842063487292,1.9298245614035088,1.6080503264451165,688.0,3.8365772021102735,0.0,0.0,204.0,1.1375897517885112,2.032258064516129,6.331998316609349,52.0,1.2729984302950126,0.0,0.0,27.0,0.6609799541916411,2.6,2.8889896030727114,14.0,1.4134147190989683,0.0,0.0,0.0,0.0,0.9166666666666667,4.0044012143448295,45.0,1.1034991467499375,0.0,0.0,19.0,0.46592186196108476,1.7083333333333333,1.2346923749896597,27.0,1.2226483378095847,0.0,0.0,12.0,0.5433992612487043,1.8,,31.0,1.0701788786734752,0.0,0.0,4.0,0.13808759724819036,1.15,1.7010721906593316,14.0,0.6532455806769957,0.0,0.0,4.0,0.1866415944791416,1.3333333333333333,1.2599793611507768,2369.0,2.8535563207519203,0.0,0.0,802.0,0.966041439106391,1.6961206896551726,3.0803397398431906
9,2020-03-13,2020-03-13,454.0,4.101347364879802,0.0,0.0,0.0,0.0,0.9577464788732395,3.080665821464965,558.0,4.267124763157369,0.0,0.0,58.0,0.4435362657045294,1.0546448087431695,3.4253541487981223,174.0,4.773890440860551,0.0,0.0,37.0,1.0151376224818414,1.2293577981651376,1.912400001939087,44.0,1.7516502336661601,0.0,0.0,14.0,0.5573432561665055,1.4285714285714286,1.335844037963951,42.0,6.149467192592527,0.0,0.0,4.0,0.5856635421516693,1.1176470588235294,0.996754332763107,99.0,5.376989418193451,0.0,0.0,11.0,0.5974432686881612,1.1466666666666667,1.495833017326993,148.0,2.3620253984760784,0.0,0.0,49.0,0.7820219224684314,1.5731707317073174,1.534189203397669,33.0,2.0501032817183593,0.0,0.0,10.0,0.6212434187025331,1.3888888888888888,2.3429880040090034,230.0,2.881321619633476,0.0,0.0,101.0,1.2652760155781786,1.9,1.51707256891699,936.0,5.2195294493825815,0.0,0.0,248.0,1.382952247272308,1.7079365079365079,4.148681296946113,102.0,2.4970353825017555,0.0,0.0,50.0,1.224036952206743,2.1282051282051286,1.6060365054059953,40.0,4.038327768854195,0.0,0.0,26.0,2.624913049755227,2.818181818181818,1.5446565169108593,83.0,2.035342870672107,0.0,0.0,38.0,0.9318437239221695,1.926829268292683,1.5122701049301313,42.0,1.901897414370465,0.0,0.0,15.0,0.6792490765608804,1.5555555555555556,,48.0,1.6570511669782844,0.0,0.0,17.0,0.586872288304809,1.7826086956521738,1.511865199550461,29.0,1.3531515599737767,0.0,0.0,15.0,0.6999059792967811,2.2500000000000004,1.050054313232528,3062.0,3.688302851052081,0.0,0.0,693.0,0.8347465303001608,1.372299872935197,2.6855546726403907
